MoS2 01-04k,,MoS2 04-1k,,MoS2 1-5k,,MoS2 5-10k,,MoS2 10-22k,,MoS2 22-74k,
Wavelength (nm),,Wavelength (nm),,Wavelength (nm),,Wavelength (nm),,Wavelength (nm),,Wavelength (nm),
799.5,0.09885,799.5,0.00586,799.5,2.75E-04,799.5,0.00197,799.5,0.00186,799.5,0.00176
799,0.09883,799,0.00528,799,-3.22E-04,799,0.00172,799,0.00172,799,0.00116
798.5,0.09916,798.5,0.00499,798.5,-2.78E-06,798.5,0.00173,798.5,0.00178,798.5,0.00131
798,0.09994,798,0.00581,798,7.22E-04,798,0.00181,798,0.00253,798,0.00136
797.5,0.09947,797.5,0.00526,797.5,-4.67E-04,797.5,0.00108,797.5,0.00162,797.5,0.00116
797,0.10014,797,0.00494,797,-9.48E-04,797,0.00121,797,0.00188,797,1.00E-03
796.5,0.10009,796.5,0.00586,796.5,-2.06E-04,796.5,0.00145,796.5,0.00183,796.5,0.00102
796,0.10011,796,0.00541,796,-8.31E-05,796,8.60E-04,796,0.00219,796,0.0011
795.5,0.10074,795.5,0.00506,795.5,-7.34E-04,795.5,0.00114,795.5,0.00177,795.5,0.00123
795,0.10079,795,0.00519,795,-7.05E-04,795,9.98E-04,795,0.00143,795,9.21E-04
794.5,0.10149,794.5,0.00563,794.5,2.68E-04,794.5,0.0012,794.5,0.00188,794.5,0.00126
794,0.10128,794,0.00557,794,-5.05E-04,794,0.00134,794,0.00134,794,0.00167
793.5,0.10243,793.5,0.00641,793.5,2.73E-04,793.5,0.00151,793.5,0.00268,793.5,0.00128
793,0.10197,793,0.00558,793,-3.34E-04,793,0.00113,793,0.002,793,0.00145
792.5,0.10316,792.5,0.00587,792.5,2.48E-04,792.5,0.00142,792.5,0.00172,792.5,0.00121
792,0.1028,792,0.00605,792,-3.56E-04,792,0.00146,792,0.00241,792,0.00104
791.5,0.1036,791.5,0.00671,791.5,1.39E-04,791.5,0.0019,791.5,0.00245,791.5,0.00203
791,0.10399,791,0.00596,791,-4.89E-04,791,8.54E-04,791,0.00187,791,5.39E-04
790.5,0.10395,790.5,0.00654,790.5,-1.25E-04,790.5,0.00184,790.5,0.00186,790.5,0.00124
790,0.10407,790,0.00672,790,-4.31E-04,790,0.00166,790,0.00187,790,0.00134
789.5,0.10437,789.5,0.00599,789.5,-2.08E-04,789.5,7.92E-04,789.5,0.00176,789.5,0.00129
789,0.10454,789,0.00639,789,-1.69E-04,789,0.00158,789,0.00157,789,0.00149
788.5,0.10517,788.5,0.00679,788.5,-2.72E-04,788.5,0.00135,788.5,0.00215,788.5,0.00151
788,0.10497,788,0.00615,788,-3.96E-04,788,0.00101,788,0.00156,788,9.96E-04
787.5,0.10571,787.5,0.0067,787.5,5.88E-04,787.5,0.00146,787.5,0.00199,787.5,0.00147
787,0.10665,787,0.00753,787,2.64E-04,787,0.00219,787,0.00233,787,0.00196
786.5,0.10603,786.5,0.00672,786.5,-2.47E-04,786.5,0.00142,786.5,0.00204,786.5,0.00116
786,0.1069,786,0.00673,786,4.09E-04,786,0.00161,786,0.00195,786,0.00162
785.5,0.10713,785.5,0.00707,785.5,-2.36E-04,785.5,0.00193,785.5,0.00246,785.5,0.00189
785,0.10728,785,0.00665,785,-4.02E-05,785,0.00116,785,0.00188,785,0.00139
784.5,0.10797,784.5,0.00736,784.5,7.23E-04,784.5,0.00166,784.5,0.00277,784.5,0.00176
784,0.10789,784,0.00713,784,-3.30E-04,784,0.0012,784,0.00212,784,0.00126
783.5,0.1085,783.5,0.00751,783.5,2.48E-04,783.5,0.00141,783.5,0.00229,783.5,0.00161
783,0.10855,783,0.00701,783,3.57E-04,783,0.00154,783,0.0019,783,0.00187
