01-04,,04-1k,,1-5k,,5-10k,,10-22k,,22-74k,
Wavelength (nm),Ext,Wavelength (nm),Ext,Wavelength (nm),Ext,Wavelength (nm),Ext,Wavelength (nm),Ext,Wavelength (nm),Ext
1000,0.0389,1000,0.00483,1000,0.00148,1000,0.0011,1000,0.0023,1000,0.00459
999.5,0.03898,999.5,0.00491,999.5,0.00151,999.5,0.00144,999.5,0.00257,999.5,0.0045
999,0.03925,999,0.005,999,0.00141,999,0.00139,999,0.00258,999,0.00469
998.5,0.0393,998.5,0.00497,998.5,0.00149,998.5,0.00107,998.5,0.00227,998.5,0.00464
998,0.03934,998,0.00496,998,0.00163,998,0.00132,998,0.00251,998,0.00442
997.5,0.03951,997.5,0.00504,997.5,0.00146,997.5,0.00149,997.5,0.00271,997.5,0.00453
997,0.03956,997,0.00506,997,0.00139,997,0.00124,997,0.00236,997,0.00476
996.5,0.03952,996.5,0.00491,996.5,0.00153,996.5,0.00118,996.5,0.00238,996.5,0.00454
996,0.03983,996,0.00513,996,0.00157,996,0.00148,996,0.00276,996,0.00446
995.5,0.03993,995.5,0.00518,995.5,0.00153,995.5,0.00135,995.5,0.00257,995.5,0.00469
995,0.03986,995,0.0051,995,0.00151,995,0.00123,995,0.00237,995,0.00471
994.5,0.04006,994.5,0.00516,994.5,0.00163,994.5,0.00149,994.5,0.00271,994.5,0.00457
994,0.04034,994,0.00534,994,0.00164,994,0.00147,994,0.00272,994,0.00468
993.5,0.04027,993.5,0.00526,993.5,0.00164,993.5,0.00122,993.5,0.00245,993.5,0.00466
993,0.04029,993,0.00518,993,0.00164,993,0.00139,993,0.00261,993,0.00458
992.5,0.04046,992.5,0.00526,992.5,0.00157,992.5,0.00164,992.5,0.00279,992.5,0.00475
992,0.04072,992,0.00535,992,0.00168,992,0.00131,992,0.00252,992,0.00476
991.5,0.04057,991.5,0.00529,991.5,0.00174,991.5,0.00129,991.5,0.00254,991.5,0.00463
991,0.04078,991,0.00535,991,0.00172,991,0.00163,991,0.00279,991,0.00465
990.5,0.04093,990.5,0.00537,990.5,0.00158,990.5,0.0015,990.5,0.00264,990.5,0.00485
990,0.04092,990,0.00533,990,0.00168,990,0.00128,990,0.00251,990,0.00458
989.5,0.0411,989.5,0.00539,989.5,0.00177,989.5,0.00153,989.5,0.00278,989.5,0.00469
989,0.04124,989,0.0055,989,0.00171,989,0.00156,989,0.00276,989,0.00465
988.5,0.04121,988.5,0.00538,988.5,0.0016,988.5,0.00133,988.5,0.00249,988.5,0.00474
