1-1.5k,,2-3k,,3-5k,,5-15k,,0.5-0.75k,,0.75-1k,,1k-2k,,15kS,
Wavelength (nm),Ext,Wavelength (nm),Ext,Wavelength (nm),Ext,Wavelength (nm),Ext,Wavelength (nm),Ext,Wavelength (nm),Ext,Wavelength (nm),Ext,Wavelength (nm),Ext
1100,0.03932,1100,0.00791,1100,0.00708,1100,0.0104,1100,0.2911,1100,0.12161,1100,0.01364,1100,0.00696
1099,0.03947,1099,0.00791,1099,0.00708,1099,0.01041,1099,0.29211,1099,0.12209,1099,0.01368,1099,0.00713
1098,0.04012,1098,0.00806,1098,0.00732,1098,0.01053,1098,0.29326,1098,0.12284,1098,0.01386,1098,0.00741
1097,0.04018,1097,0.00803,1097,0.00726,1097,0.01047,1097,0.29413,1097,0.12318,1097,0.01385,1097,0.00736
1096,0.04041,1096,0.00806,1096,0.00727,1096,0.01052,1096,0.29517,1096,0.12376,1096,0.01391,1096,0.00739
1095,0.04053,1095,0.00809,1095,0.00722,1095,0.01053,1095,0.29618,1095,0.12415,1095,0.01392,1095,0.00747
1094,0.04054,1094,0.00811,1094,0.00722,1094,0.01054,1094,0.29712,1094,0.12463,1094,0.01392,1094,0.00744
1093,0.04063,1093,0.00807,1093,0.00714,1093,0.01053,1093,0.29811,1093,0.12496,1093,0.01391,1093,0.00735
1092,0.04079,1092,0.00805,1092,0.00714,1092,0.01054,1092,0.29911,1092,0.12545,1092,0.01392,1092,0.00731
1091,0.04104,1091,0.00812,1091,0.00715,1091,0.01058,1091,0.30018,1091,0.12596,1091,0.01402,1091,0.00751
1090,0.04079,1090,0.00797,1090,0.00693,1090,0.01046,1090,0.301,1090,0.12613,1090,0.01381,1090,0.00725
1089,0.04112,1089,0.00805,1089,0.00708,1089,0.01056,1089,0.3021,1089,0.12676,1089,0.014,1089,0.00723
1088,0.04148,1088,0.00813,1088,0.00721,1088,0.01061,1088,0.30318,1088,0.12743,1088,0.01418,1088,0.00728
1087,0.04171,1087,0.00818,1087,0.0072,1087,0.01068,1087,0.30433,1087,0.12801,1087,0.01425,1087,0.00756
1086,0.04222,1086,0.0083,1086,0.00741,1086,0.0108,1086,0.30554,1086,0.12883,1086,0.01452,1086,0.00813
1085,0.04223,1085,0.00833,1085,0.00734,1085,0.01077,1085,0.30648,1085,0.1292,1085,0.01449,1085,0.00813
1084,0.04197,1084,0.0082,1084,0.00716,1084,0.01066,1084,0.30731,1084,0.12929,1084,0.01426,1084,0.00771
1083,0.04244,1083,0.00829,1083,0.0074,1083,0.01073,1083,0.30852,1083,0.13009,1083,0.01443,1083,0.00783
1082,0.04229,1082,0.00822,1082,0.00718,1082,0.01068,1082,0.30942,1082,0.13033,1082,0.01425,1082,0.00759
1081,0.04238,1081,0.00822,1081,0.00717,1081,0.01069,1081,0.31044,1081,0.13082,1081,0.01429,1081,0.00759
1080,0.04277,1080,0.00828,1080,0.00727,1080,0.01074,1080,0.31163,1080,0.13154,1080,0.01447,1080,0.00774
1079,0.04295,1079,0.00836,1079,0.00736,1079,0.0108,1079,0.31272,1079,0.132,1079,0.01457,1079,0.00762
1078,0.04324,1078,0.00846,1078,0.00735,1078,0.01085,1078,0.31385,1078,0.1327,1078,0.01463,1078,0.00779
1077,0.04324,1077,0.00837,1077,0.00735,1077,0.0108,1077,0.31484,1077,0.1331,1077,0.0146,1077,0.00789
1076,0.04344,1076,0.00835,1076,0.00734,1076,0.01084,1076,0.31592,1076,0.13359,1076,0.01467,1076,0.00782
1075,0.04367,1075,0.00854,1075,0.00742,1075,0.01089,1075,0.31703,1075,0.13421,1075,0.01482,1075,0.00795
1074,0.0439,1074,0.00851,1074,0.00742,1074,0.01092,1074,0.31817,1074,0.13485,1074,0.01483,1074,0.00805
1073,0.04408,1073,0.0084,1073,0.0075,1073,0.01097,1073,0.31931,1073,0.13538,1073,0.01497,1073,0.00851
1072,0.04422,1072,0.00865,1072,0.00748,1072,0.011,1072,0.32041,1072,0.13603,1072,0.01499,1072,0.00836
1071,0.04458,1071,0.00872,1071,0.00758,1071,0.01105,1071,0.32161,1071,0.13673,1071,0.01507,1071,0.00851
1070,0.04455,1070,0.0087,1070,0.0075,1070,0.01106,1070,0.32268,1070,0.13708,1070,0.01508,1070,0.00854
1069,0.04488,1069,0.00874,1069,0.0075,1069,0.01109,1069,0.32375,1069,0.13775,1069,0.01515,1069,0.00844
1068,0.04498,1068,0.00871,1068,0.00756,1068,0.0111,1068,0.32494,1068,0.13829,1068,0.01517,1068,0.00854
1067,0.04511,1067,0.00869,1067,0.00749,1067,0.01106,1067,0.32599,1067,0.13864,1067,0.01515,1067,0.00862
