Fraction 1,,Fraction 2,,Fraction 3,,Fraction 4,,Fraction 5,,Fraction 6,,Fraction 7,,Fraction 8,,Fraction 9,
Wavelength (nm),Ext,Wavelength (nm),Ext,Wavelength (nm),Ext,Wavelength (nm),Ext,Wavelength (nm),Ext,Wavelength (nm),Ext,Wavelength (nm),Ext,Wavelength (nm),Ext,Wavelength (nm),Ext
1000,-0.02823,1000,-0.04191,1000,-0.06922,1000,-0.09472,1000,-0.12666,1000,-0.25143,1000,-0.47176,1000,-0.5639,1000,0.27981
999,-0.02872,999,-0.04248,999,-0.07014,999,-0.09604,999,-0.12842,999,-0.25517,999,-0.47881,999,-0.57259,999,0.28061
998,-0.02919,998,-0.04296,998,-0.07117,998,-0.09725,998,-0.13025,998,-0.25831,998,-0.48571,998,-0.58018,998,0.28152
997,-0.02938,997,-0.04345,997,-0.07187,997,-0.09833,997,-0.13139,997,-0.26156,997,-0.49182,997,-0.5879,997,0.28236
996,-0.02963,996,-0.04388,996,-0.07253,996,-0.09931,996,-0.13263,996,-0.26421,996,-0.49737,996,-0.59472,996,0.28338
995,-0.02988,995,-0.04427,995,-0.07327,995,-0.10032,995,-0.13407,995,-0.2672,995,-0.50372,995,-0.60185,995,0.28436
994,-0.03005,994,-0.04464,994,-0.07394,994,-0.10113,994,-0.13522,994,-0.26998,994,-0.50917,994,-0.60823,994,0.28539
993,-0.03046,993,-0.0451,993,-0.0746,993,-0.102,993,-0.13663,993,-0.27286,993,-0.51479,993,-0.61508,993,0.28629
992,-0.03057,992,-0.04535,992,-0.07516,992,-0.10282,992,-0.13785,992,-0.27544,992,-0.52025,992,-0.62158,992,0.28741
991,-0.03082,991,-0.04557,991,-0.07586,991,-0.10378,991,-0.13887,991,-0.27784,991,-0.52542,991,-0.6279,991,0.28842
990,-0.03087,990,-0.04578,990,-0.0762,990,-0.10434,990,-0.13963,990,-0.27981,990,-0.52931,990,-0.63238,990,0.28957
989,-0.03124,989,-0.04622,989,-0.0768,989,-0.10524,989,-0.14106,989,-0.28236,989,-0.5347,989,-0.63912,989,0.29061
988,-0.03121,988,-0.04624,988,-0.07723,988,-0.10568,988,-0.14154,988,-0.28416,988,-0.53858,988,-0.6438,988,0.29173
987,-0.03159,987,-0.0465,987,-0.07777,987,-0.10643,987,-0.14231,987,-0.28618,987,-0.54316,987,-0.6493,987,0.29279
986,-0.03156,986,-0.04665,986,-0.07815,986,-0.10697,986,-0.14307,986,-0.2875,986,-0.54677,986,-0.65357,986,0.29407
985,-0.03178,985,-0.04705,985,-0.07855,985,-0.10746,985,-0.1443,985,-0.28945,985,-0.55028,985,-0.65824,985,0.2951
984,-0.03164,984,-0.04704,984,-0.07873,984,-0.10774,984,-0.14467,984,-0.29089,984,-0.55321,984,-0.66172,984,0.29637
983,-0.03169,983,-0.04727,983,-0.07895,983,-0.10813,983,-0.14501,983,-0.2923,983,-0.55647,983,-0.66577,983,0.29757
982,-0.03181,982,-0.0474,982,-0.07929,982,-0.10847,982,-0.14543,982,-0.29309,982,-0.55898,982,-0.66842,982,0.2987
981,-0.03213,981,-0.04766,981,-0.07957,981,-0.10892,981,-0.14592,981,-0.29453,981,-0.56186,981,-0.6721,981,0.29992
980,-0.03163,980,-0.04728,980,-0.07926,980,-0.10867,980,-0.1457,980,-0.29434,980,-0.56236,980,-0.67288,980,0.30151
979,-0.03161,979,-0.04718,979,-0.07925,979,-0.10872,979,-0.14563,979,-0.29477,979,-0.56382,979,-0.67467,979,0.30289
978,-0.03157,978,-0.04708,978,-0.07919,978,-0.10851,978,-0.14563,978,-0.29491,978,-0.56463,978,-0.6762,978,0.30428
977,-0.03134,977,-0.0469,977,-0.07903,977,-0.10825,977,-0.1453,977,-0.29465,977,-0.56523,977,-0.67623,977,0.30573
976,-0.03115,976,-0.04676,976,-0.07878,976,-0.10791,976,-0.14486,976,-0.2941,976,-0.56499,976,-0.67599,976,0.30727
975,-0.03097,975,-0.04674,975,-0.07868,975,-0.10769,975,-0.14468,975,-0.29392,975,-0.56477,975,-0.67666,975,0.3086
974,-0.0306,974,-0.04619,974,-0.07817,974,-0.10694,974,-0.14349,974,-0.29243,974,-0.56334,974,-0.67475,974,0.31024
973,-0.0303,973,-0.04592,973,-0.07766,973,-0.10649,973,-0.14272,973,-0.29146,973,-0.56185,973,-0.67317,973,0.31187
972,-0.02988,972,-0.04534,972,-0.07706,972,-0.10571,972,-0.14166,972,-0.28978,972,-0.55978,972,-0.67055,972,0.31348
971,-0.02972,971,-0.04501,971,-0.07662,971,-0.10505,971,-0.14089,971,-0.28826,971,-0.55782,971,-0.66842,971,0.31508
970,-0.02933,970,-0.04462,970,-0.07595,970,-0.10437,970,-0.13957,970,-0.28634,970,-0.55494,970,-0.66597,970,0.31688
969,-0.02883,969,-0.04415,969,-0.07513,969,-0.10318,969,-0.1384,969,-0.28422,969,-0.55191,969,-0.66278,969,0.31859
968,-0.02827,968,-0.04329,968,-0.07427,968,-0.10215,968,-0.1368,968,-0.28156,968,-0.54848,968,-0.65861,968,0.32034
967,-0.0279,967,-0.04283,967,-0.07345,967,-0.10102,967,-0.13543,967,-0.27935,967,-0.54502,967,-0.65461,967,0.3221
966,-0.02732,966,-0.04204,966,-0.07256,966,-0.0998,966,-0.13357,966,-0.2765,966,-0.54092,966,-0.64972,966,0.32393
965,-0.02681,965,-0.04157,965,-0.07159,965,-0.0986,965,-0.13196,965,-0.2736,965,-0.53648,965,-0.64468,965,0.32586
964,-0.02641,964,-0.04088,964,-0.07056,964,-0.09721,964,-0.13032,964,-0.27042,964,-0.53164,964,-0.63903,964,0.32756
963,-0.02581,963,-0.03989,963,-0.06945,963,-0.09575,963,-0.12818,963,-0.26669,963,-0.52595,963,-0.63238,963,0.32945
962,-0.02518,962,-0.03918,962,-0.06813,962,-0.09392,962,-0.12573,962,-0.26257,962,-0.519,962,-0.62434,962,0.3314
961,-0.02454,961,-0.03835,961,-0.06674,961,-0.09209,961,-0.12292,961,-0.25786,961,-0.5113,961,-0.61521,961,0.33334
960,-0.02359,960,-0.03706,960,-0.06488,960,-0.08965,960,-0.11971,960,-0.25195,960,-0.50073,960,-0.60298,960,0.33564
959,-0.02291,959,-0.03613,959,-0.0631,959,-0.08719,959,-0.11659,959,-0.24544,959,-0.48931,959,-0.58969,959,0.33776
958,-0.02196,958,-0.03467,958,-0.06092,958,-0.08424,958,-0.1124,958,-0.23746,958,-0.47537,958,-0.57337,958,0.33996
957,-0.02086,957,-0.03324,957,-0.05848,957,-0.08094,957,-0.10764,957,-0.22836,957,-0.45801,957,-0.55286,957,0.34229
956,-0.0198,956,-0.03179,956,-0.05574,956,-0.07725,956,-0.10274,956,-0.21798,956,-0.43856,956,-0.53009,956,0.34469
955,-0.01902,955,-0.03038,955,-0.05332,955,-0.07375,955,-0.09792,955,-0.20732,955,-0.41833,955,-0.50603,955,0.34717
954,-0.01772,954,-0.02874,954,-0.05023,954,-0.06964,954,-0.09232,954,-0.19533,954,-0.39432,954,-0.47692,954,0.3498
953,-0.01691,953,-0.02741,953,-0.04772,953,-0.06602,953,-0.08722,953,-0.18402,953,-0.37074,953,-0.44881,953,0.35202
952,-0.01589,952,-0.02594,952,-0.04514,952,-0.06247,952,-0.08193,952,-0.17266,952,-0.34663,952,-0.41994,952,0.35436
951,-0.01509,951,-0.02473,951,-0.04262,951,-0.05899,951,-0.07723,951,-0.16117,951,-0.32172,951,-0.39042,951,0.35672
950,-0.01447,950,-0.02372,950,-0.04051,950,-0.056,950,-0.07284,950,-0.15126,950,-0.29965,950,-0.36451,950,0.35885
949,-0.01368,949,-0.02259,949,-0.03835,949,-0.05304,949,-0.06865,949,-0.14158,949,-0.27922,949,-0.33919,949,0.36097
948,-0.01288,948,-0.02157,948,-0.03635,948,-0.05014,948,-0.06506,948,-0.13244,948,-0.25929,948,-0.31524,948,0.36321
947,-0.01233,947,-0.02057,947,-0.03466,947,-0.04768,947,-0.06141,947,-0.12435,947,-0.24227,947,-0.29497,947,0.36526
946,-0.01151,946,-0.01944,946,-0.03267,946,-0.04501,946,-0.05747,946,-0.11597,946,-0.22549,946,-0.27487,946,0.36747
945,-0.01072,945,-0.01828,945,-0.03069,945,-0.04222,945,-0.05364,945,-0.10803,945,-0.20936,945,-0.25598,945,0.36978
944,-0.00994,944,-0.01719,944,-0.02892,944,-0.03973,944,-0.05016,944,-0.10086,944,-0.19493,944,-0.23881,944,0.37202
943,-0.00929,943,-0.0163,943,-0.02708,943,-0.03733,943,-0.04684,943,-0.09391,943,-0.1816,943,-0.22301,943,0.37418
942,-0.00859,942,-0.01519,942,-0.02529,942,-0.03479,942,-0.04357,942,-0.08696,942,-0.16848,942,-0.20817,942,0.3765
941,-0.00769,941,-0.01392,941,-0.02342,941,-0.03233,941,-0.03995,941,-0.08018,941,-0.15623,941,-0.19328,941,0.37877
940,-0.00672,940,-0.01287,940,-0.02155,940,-0.02983,940,-0.03649,940,-0.07364,940,-0.14395,940,-0.17867,940,0.38103
939,-0.00581,939,-0.01164,939,-0.01972,939,-0.02745,939,-0.03323,939,-0.06714,939,-0.13204,939,-0.16497,939,0.38335
938,-0.00506,938,-0.01056,938,-0.01813,938,-0.02532,938,-0.03026,938,-0.06094,938,-0.12129,938,-0.15174,938,0.38561
937,-0.00453,937,-0.00982,937,-0.01659,937,-0.0232,937,-0.02727,937,-0.05544,937,-0.11077,937,-0.13964,937,0.38783
936,-0.00385,936,-0.00869,936,-0.01496,936,-0.02109,936,-0.02438,936,-0.04991,936,-0.10069,936,-0.12793,936,0.38996
935,-0.00345,935,-0.00813,935,-0.01371,935,-0.01942,935,-0.02199,935,-0.0449,935,-0.0921,935,-0.1171,935,0.39196
934,-0.00232,934,-0.00674,934,-0.01189,934,-0.0169,934,-0.0185,934,-0.03861,934,-0.08084,934,-0.10455,934,0.39441
933,-0.00184,933,-0.00612,933,-0.01069,933,-0.01524,933,-0.01637,933,-0.03392,933,-0.07261,933,-0.09457,933,0.39641
932,-0.00134,932,-0.00536,932,-0.00936,932,-0.01327,932,-0.01372,932,-0.02883,932,-0.06371,932,-0.08371,932,0.39863
931,-0.00106,931,-0.00468,931,-0.00815,931,-0.0117,931,-0.01144,931,-0.02431,931,-0.05537,931,-0.07472,931,0.40073
930,-2.34E-04,930,-0.00382,930,-0.00686,930,-0.01005,930,-0.00929,930,-0.01997,930,-0.04695,930,-0.06488,930,0.40287
929,1.11E-04,929,-0.00342,929,-0.00602,929,-0.00894,929,-0.00739,929,-0.01647,929,-0.04003,929,-0.05696,929,0.4047
928,5.86E-04,928,-0.00256,928,-0.00491,928,-0.00729,928,-0.00545,928,-0.01226,928,-0.03273,928,-0.04913,928,0.40683
927,9.74E-04,927,-0.00209,927,-0.00394,927,-0.00606,927,-0.00357,927,-0.0087,927,-0.02609,927,-0.04086,927,0.40884
926,0.00163,926,-0.00139,926,-0.00288,926,-0.00459,926,-0.00162,926,-0.00496,926,-0.0187,926,-0.03193,926,0.41103
925,0.00182,925,-7.78E-04,925,-0.00196,925,-0.00332,925,1.27E-04,925,-0.00164,925,-0.01267,925,-0.02434,925,0.41301
924,0.00222,924,-3.09E-04,924,-0.00126,924,-0.00222,924,0.00153,924,0.0012,924,-0.00725,924,-0.01804,924,0.41491
923,0.00253,923,1.69E-04,923,-4.34E-04,923,-0.00118,923,0.00306,923,0.00421,923,-0.002,923,-0.01153,923,0.41698
922,0.00297,922,4.22E-04,922,2.02E-04,922,-3.15E-04,922,0.00435,922,0.00696,922,0.00281,922,-0.00546,922,0.41886
921,0.00331,921,9.73E-04,921,9.01E-04,921,5.92E-04,921,0.00566,921,0.00933,921,0.00774,921,1.17E-04,921,0.42074
920,0.00362,920,0.00123,920,0.00147,920,0.00142,920,0.00662,920,0.01153,920,0.01189,920,0.0041,920,0.42264
919,0.00376,919,0.00153,919,0.00196,919,0.0021,919,0.00767,919,0.01358,919,0.0156,919,0.00829,919,0.42445
918,0.004,918,0.00183,918,0.00237,918,0.00264,918,0.00864,918,0.01544,918,0.01892,918,0.01253,918,0.42631
917,0.00416,917,0.00203,917,0.0028,917,0.00323,917,0.00946,917,0.01725,917,0.02203,917,0.01657,917,0.42836
916,0.00434,916,0.00251,916,0.00329,916,0.0039,916,0.01026,916,0.01895,916,0.02516,916,0.02056,916,0.43035
915,0.00448,915,0.00272,915,0.00366,915,0.00439,915,0.01115,915,0.02069,915,0.02827,915,0.02358,915,0.4322
914,0.00465,914,0.00271,914,0.00403,914,0.00493,914,0.01206,914,0.02222,914,0.03127,914,0.02713,914,0.43404
913,0.0047,913,0.00287,913,0.00434,913,0.00547,913,0.01242,913,0.02336,913,0.03375,913,0.03018,913,0.43594
912,0.0048,912,0.00317,912,0.00477,912,0.00597,912,0.01321,912,0.02483,912,0.03635,912,0.0328,912,0.43785
911,0.00507,911,0.00333,911,0.00506,911,0.00639,911,0.01379,911,0.02586,911,0.03841,911,0.0352,911,0.43975
910,0.00537,910,0.00372,910,0.00549,910,0.00696,910,0.01465,910,0.0273,910,0.04094,910,0.03852,910,0.44174
909,0.00543,909,0.00374,909,0.00582,909,0.0074,909,0.01525,909,0.02869,909,0.04326,909,0.04071,909,0.44365
908,0.00544,908,0.00386,908,0.00608,908,0.00776,908,0.01581,908,0.02964,908,0.04526,908,0.04281,908,0.44552
907,0.00558,907,0.00397,907,0.00634,907,0.00799,907,0.0163,907,0.03076,907,0.04698,907,0.0452,907,0.44746
906,0.00573,906,0.00428,906,0.00655,906,0.00835,906,0.01682,906,0.03187,906,0.04844,906,0.04709,906,0.44938
905,0.00586,905,0.00435,905,0.00676,905,0.00878,905,0.01741,905,0.03268,905,0.05017,905,0.04886,905,0.45126
904,0.006,904,0.0045,904,0.00707,904,0.00933,904,0.01796,904,0.03387,904,0.05221,904,0.0517,904,0.45333
903,0.00619,903,0.00476,903,0.00747,903,0.00965,903,0.01849,903,0.03514,903,0.05399,903,0.05314,903,0.45525
902,0.00642,902,0.00504,902,0.00778,902,0.01008,902,0.01918,902,0.03604,902,0.056,902,0.0552,902,0.4572
901,0.00641,901,0.00512,901,0.00798,901,0.01045,901,0.01966,901,0.03682,901,0.0576,901,0.05784,901,0.45918
900,0.00649,900,0.00526,900,0.00824,900,0.01071,900,0.02022,900,0.03783,900,0.05909,900,0.05956,900,0.46108
899,0.00656,899,0.00541,899,0.00844,899,0.01101,899,0.02068,899,0.039,899,0.06067,899,0.0613,899,0.46303
898,0.00676,898,0.00553,898,0.0087,898,0.0115,898,0.02128,898,0.04012,898,0.06237,898,0.06304,898,0.46503
897,0.00703,897,0.00585,897,0.00905,897,0.01202,897,0.02195,897,0.04124,897,0.06448,897,0.06555,897,0.46709
896,0.00706,896,0.00602,896,0.00926,896,0.01228,896,0.02226,896,0.04183,896,0.06588,896,0.06716,896,0.46904
895,0.00746,895,0.00641,895,0.00973,895,0.01297,895,0.02326,895,0.04344,895,0.06842,895,0.06988,895,0.47124
894,0.00735,894,0.00633,894,0.00992,894,0.01308,894,0.0236,894,0.04434,894,0.06951,894,0.07153,894,0.47321
893,0.00751,893,0.00649,893,0.01019,893,0.01343,893,0.02418,893,0.04553,893,0.07152,893,0.07333,893,0.47525
892,0.00766,892,0.00657,892,0.01047,892,0.01384,892,0.02462,892,0.04646,892,0.07328,892,0.07514,892,0.47723
891,0.00745,891,0.00643,891,0.01051,891,0.01392,891,0.02479,891,0.0468,891,0.07454,891,0.07665,891,0.47916
890,0.0078,890,0.00676,890,0.01087,890,0.01446,890,0.02546,890,0.04825,890,0.07675,890,0.07904,890,0.48129
889,0.00764,889,0.00677,889,0.01095,889,0.0146,889,0.02576,889,0.04893,889,0.0781,889,0.08078,889,0.48322
888,0.00782,888,0.00704,888,0.01134,888,0.01512,888,0.0265,888,0.05039,888,0.08015,888,0.08285,888,0.48544
887,0.00781,887,0.00693,887,0.01144,887,0.01523,887,0.02695,887,0.05097,887,0.08132,887,0.08466,887,0.48731
886,0.00791,886,0.00681,886,0.01157,886,0.01558,886,0.02723,886,0.05179,886,0.08287,886,0.08691,886,0.48936
885,0.00803,885,0.00705,885,0.0119,885,0.01599,885,0.02784,885,0.05281,885,0.08475,885,0.08933,885,0.49156
884,0.00817,884,0.00737,884,0.01212,884,0.0163,884,0.02836,884,0.05363,884,0.08692,884,0.09122,884,0.49362
883,0.0082,883,0.00732,883,0.01224,883,0.0165,883,0.02863,883,0.05469,883,0.08822,883,0.09283,883,0.49568
882,0.00826,882,0.00734,882,0.01245,882,0.01679,882,0.02907,882,0.05584,882,0.09032,882,0.09502,882,0.49778
881,0.00846,881,0.00762,881,0.01279,881,0.01726,881,0.02979,881,0.05715,881,0.09249,881,0.09778,881,0.49989
880,0.00841,880,0.00766,880,0.01284,880,0.01737,880,0.02994,880,0.0577,880,0.09367,880,0.09913,880,0.50196
879,0.00852,879,0.00776,879,0.0131,879,0.01771,879,0.03032,879,0.05864,879,0.09593,879,0.10141,879,0.50417
878,0.00845,878,0.00773,878,0.01323,878,0.01791,878,0.03094,878,0.05955,878,0.09745,878,0.10304,878,0.50621
877,0.00882,877,0.00804,877,0.01347,877,0.01839,877,0.03151,877,0.06084,877,0.09964,877,0.10571,877,0.50847
876,0.00878,876,0.0082,876,0.01373,876,0.01862,876,0.03173,876,0.06175,876,0.10121,876,0.10807,876,0.51054
875,0.0087,875,0.00807,875,0.0138,875,0.0187,875,0.03207,875,0.06234,875,0.10242,875,0.10953,875,0.5126
874,0.0091,874,0.00849,874,0.0142,874,0.01929,874,0.03299,874,0.06377,874,0.10503,874,0.11226,874,0.51493
873,0.0094,873,0.00878,873,0.0145,873,0.01977,873,0.03364,873,0.06486,873,0.10723,873,0.11473,873,0.51718
872,0.00911,872,0.00874,872,0.01452,872,0.0199,872,0.0338,872,0.06539,872,0.10859,872,0.11595,872,0.51934
871,0.00899,871,0.00868,871,0.01474,871,0.02019,871,0.03415,871,0.06624,871,0.11013,871,0.11786,871,0.52149
870,0.00923,870,0.00872,870,0.01488,870,0.02045,870,0.03446,870,0.06709,870,0.11179,870,0.11975,870,0.52364
869,0.00938,869,0.0088,869,0.015,869,0.0207,869,0.03493,869,0.06801,869,0.11338,869,0.12174,869,0.52591
868,0.00932,868,0.00879,868,0.01519,868,0.02084,868,0.03515,868,0.06867,868,0.11453,868,0.12312,868,0.5281
867,0.0097,867,0.00899,867,0.01554,867,0.02129,867,0.03595,867,0.07019,867,0.11653,867,0.1257,867,0.53044
866,0.00966,866,0.00912,866,0.01564,866,0.02139,866,0.03628,866,0.07112,866,0.11805,866,0.12736,866,0.53269
865,0.01013,865,0.00921,865,0.01585,865,0.02181,865,0.03667,865,0.07174,865,0.11983,865,0.1294,865,0.53493
