22-74kg,,10-22kg,,5-10kg,,1-5kg,,04-1kg,,01-04kg,
Wavelength,Ext,Wavelength,Ext,Wavelength,Ext,Wavelength,Ext,Wavelength,Ext,Wavelength,Ext
1000,0.00378,1000,0.004,1000,0.00304,1000,0.00435,1000,0.0036,1000,0.00901
999.5,0.00378,999.5,0.00307,999.5,0.00297,999.5,0.00448,999.5,0.00369,999.5,0.00925
999,0.00389,999,0.0032,999,0.00303,999,0.00441,999,0.00375,999,0.00962
998.5,0.00371,998.5,0.00328,998.5,0.00309,998.5,0.00442,998.5,0.00356,998.5,0.0096
998,0.00384,998,0.00333,998,0.00303,998,0.00444,998,0.0038,998,0.00976
997.5,0.00377,997.5,0.00314,997.5,0.00301,997.5,0.00435,997.5,0.00361,997.5,0.0095
997,0.00379,997,0.00321,997,0.00305,997,0.00449,997,0.00371,997,0.00975
996.5,0.00388,996.5,0.0031,996.5,0.00306,996.5,0.0044,996.5,0.00375,996.5,0.00964
996,0.00381,996,0.00329,996,0.00316,996,0.0045,996,0.0037,996,0.00967
995.5,0.00387,995.5,0.00317,995.5,0.00308,995.5,0.00446,995.5,0.00379,995.5,0.0098
995,0.00378,995,0.00324,995,0.00309,995,0.00444,995,0.00374,995,0.00965
994.5,0.00383,994.5,0.00329,994.5,0.0031,994.5,0.0045,994.5,0.00377,994.5,0.00982
994,0.00389,994,0.00327,994,0.00316,994,0.00444,994,0.00384,994,0.00981
993.5,0.00373,993.5,0.00323,993.5,0.00311,993.5,0.00449,993.5,0.00364,993.5,0.00968
993,0.00393,993,0.00332,993,0.00315,993,0.00448,993,0.00387,993,0.00995
992.5,0.00386,992.5,0.00325,992.5,0.00313,992.5,0.00443,992.5,0.00373,992.5,0.0097
992,0.00385,992,0.00337,992,0.00322,992,0.00457,992,0.00384,992,0.00997
991.5,0.00391,991.5,0.00321,991.5,0.00315,991.5,0.00449,991.5,0.00385,991.5,0.0098
991,0.0038,991,0.00337,991,0.00324,991,0.00456,991,0.00381,991,0.00997
990.5,0.00394,990.5,0.00332,990.5,0.00312,990.5,0.00456,990.5,0.0039,990.5,0.01003
990,0.00386,990,0.0033,990,0.00323,990,0.00452,990,0.00384,990,0.0099
989.5,0.00388,989.5,0.00339,989.5,0.00326,989.5,0.00463,989.5,0.00386,989.5,0.01001
989,0.00396,989,0.0033,989,0.00324,989,0.00453,989,0.00396,989,0.00999
988.5,0.00388,988.5,0.00333,988.5,0.00319,988.5,0.0046,988.5,0.00378,988.5,0.00999
988,0.00391,988,0.00328,988,0.00317,988,0.00455,988,0.00391,988,0.01017
987.5,0.00389,987.5,0.00319,987.5,0.00323,987.5,0.00452,987.5,0.00385,987.5,0.00989
987,0.00395,987,0.00354,987,0.00342,987,0.00475,987,0.00399,987,0.01025
986.5,0.00397,986.5,0.00326,986.5,0.00325,986.5,0.00437,986.5,0.00399,986.5,0.01006
986,0.00389,986,0.00344,986,0.00328,986,0.00467,986,0.00389,986,0.01016
985.5,0.00395,985.5,0.00334,985.5,0.00326,985.5,0.00466,985.5,0.00395,985.5,0.01025
985,0.00393,985,0.00334,985,0.00331,985,0.00473,985,0.00397,985,0.0101
984.5,0.00398,984.5,0.00351,984.5,0.00339,984.5,0.00482,984.5,0.00394,984.5,0.01031
984,0.004,984,0.00335,984,0.00333,984,0.00467,984,0.00405,984,0.01022
983.5,0.00391,983.5,0.0034,983.5,0.00331,983.5,0.00474,983.5,0.00393,983.5,0.01023
983,0.00398,983,0.00342,983,0.00335,983,0.00467,983,0.00405,983,0.0104
982.5,0.00392,982.5,0.00329,982.5,0.00333,982.5,0.00466,982.5,0.00397,982.5,0.01015
982,0.00399,982,0.00356,982,0.00346,982,0.00482,982,0.00408,982,0.01046
981.5,0.00401,981.5,0.00334,981.5,0.00335,981.5,0.0047,981.5,0.00405,981.5,0.0103
981,0.00395,981,0.00351,981,0.00343,981,0.00487,981,0.00407,981,0.01045
980.5,0.00401,980.5,0.00341,980.5,0.00335,980.5,0.00473,980.5,0.00405,980.5,0.01047
980,0.00405,980,0.00343,980,0.00347,980,0.0048,980,0.00412,980,0.01039
979.5,0.00399,979.5,0.00353,979.5,0.00342,979.5,0.00486,979.5,0.00404,979.5,0.01055
979,0.00404,979,0.0034,979,0.00342,979,0.00473,979,0.00417,979,0.01047
978.5,0.004,978.5,0.00347,978.5,0.00348,978.5,0.00488,978.5,0.00404,978.5,0.01049
978,0.00406,978,0.00352,978,0.00346,978,0.00477,978,0.00417,978,0.0106
977.5,0.00404,977.5,0.0034,977.5,0.00346,977.5,0.0048,977.5,0.00411,977.5,0.01045
977,0.0041,977,0.00367,977,0.00356,977,0.00494,977,0.00421,977,0.01075
976.5,0.00403,976.5,0.00335,976.5,0.0034,976.5,0.00474,976.5,0.00414,976.5,0.01052
976,0.00405,976,0.00357,976,0.00351,976,0.00492,976,0.00414,976,0.01064
975.5,0.00408,975.5,0.00354,975.5,0.00351,975.5,0.00486,975.5,0.00422,975.5,0.01074
975,0.00412,975,0.00353,975,0.00362,975,0.00492,975,0.00428,975,0.01065
974.5,0.00408,974.5,0.00364,974.5,0.00359,974.5,0.00501,974.5,0.00422,974.5,0.01084
