22-74k,,10-22k,,5-10k,,1-5k,,400-1k,,100-400,
Wavelength (nm),Abs,Wavelength (nm),,Wavelength (nm),,Wavelength (nm),,Wavelength (nm),,Wavelength (nm),
900,0.02136,900,0.0173,900,0.01472,900,0.01165,900,0.05077,900,0.17197
899.5,0.02141,899.5,0.01733,899.5,0.01472,899.5,0.01166,899.5,0.05086,899.5,0.17231
899,0.02135,899,0.01731,899,0.0147,899,0.01165,899,0.05093,899,0.17268
898.5,0.02134,898.5,0.01731,898.5,0.01473,898.5,0.01167,898.5,0.05103,898.5,0.17304
898,0.02136,898,0.01731,898,0.01472,898,0.01168,898,0.05112,898,0.1734
897.5,0.02141,897.5,0.01735,897.5,0.01475,897.5,0.0117,897.5,0.0512,897.5,0.17375
897,0.02139,897,0.01736,897,0.01473,897,0.0117,897,0.0513,897,0.17412
896.5,0.02141,896.5,0.01739,896.5,0.01476,896.5,0.01172,896.5,0.05141,896.5,0.17456
896,0.02144,896,0.01734,896,0.01475,896,0.01172,896,0.05149,896,0.17488
895.5,0.02143,895.5,0.01737,895.5,0.01477,895.5,0.01171,895.5,0.05159,895.5,0.17528
895,0.02142,895,0.01735,895,0.01475,895,0.01174,895,0.05169,895,0.1756
894.5,0.02138,894.5,0.01733,894.5,0.01478,894.5,0.01172,894.5,0.05176,894.5,0.17593
894,0.02144,894,0.01739,894,0.0148,894,0.01174,894,0.05186,894,0.17632
893.5,0.02138,893.5,0.01736,893.5,0.0148,893.5,0.01174,893.5,0.05194,893.5,0.17666
893,0.0214,893,0.01738,893,0.01479,893,0.01175,893,0.05204,893,0.17719
892.5,0.02142,892.5,0.01738,892.5,0.01482,892.5,0.01175,892.5,0.05213,892.5,0.17751
892,0.02143,892,0.01743,892,0.01483,892,0.01178,892,0.05224,892,0.17788
891.5,0.02143,891.5,0.0174,891.5,0.01483,891.5,0.01179,891.5,0.05234,891.5,0.17827
891,0.02144,891,0.01741,891,0.01483,891,0.0118,891,0.05243,891,0.17867
890.5,0.02146,890.5,0.01743,890.5,0.01484,890.5,0.0118,890.5,0.05252,890.5,0.17901
890,0.02148,890,0.0174,890,0.01484,890,0.01183,890,0.05262,890,0.17942
889.5,0.02151,889.5,0.01748,889.5,0.01488,889.5,0.01185,889.5,0.05274,889.5,0.17992
889,0.02151,889,0.01746,889,0.01485,889,0.01184,889,0.05282,889,0.1802
888.5,0.02148,888.5,0.01743,888.5,0.01487,888.5,0.01184,888.5,0.05293,888.5,0.18079
888,0.02147,888,0.01745,888,0.01487,888,0.01185,888,0.05301,888,0.18123
887.5,0.02151,887.5,0.01743,887.5,0.0149,887.5,0.01187,887.5,0.05311,887.5,0.18136
887,0.02157,887,0.01753,887,0.01494,887,0.01189,887,0.05323,887,0.18151
886.5,0.02148,886.5,0.01747,886.5,0.0149,886.5,0.01189,886.5,0.05331,886.5,0.18204
886,0.02154,886,0.01747,886,0.01493,886,0.0119,886,0.05341,886,0.18259
885.5,0.02152,885.5,0.01751,885.5,0.0149,885.5,0.0119,885.5,0.05351,885.5,0.18299
885,0.02149,885,0.01749,885,0.01492,885,0.01191,885,0.05359,885,0.18341
884.5,0.02154,884.5,0.01751,884.5,0.01494,884.5,0.01194,884.5,0.05369,884.5,0.18363
884,0.02155,884,0.0175,884,0.01494,884,0.01193,884,0.05379,884,0.18409
883.5,0.02154,883.5,0.01756,883.5,0.01498,883.5,0.01196,883.5,0.0539,883.5,0.18453
883,0.02155,883,0.01753,883,0.01494,883,0.01196,883,0.054,883,0.18499
882.5,0.02152,882.5,0.01751,882.5,0.01496,882.5,0.01197,882.5,0.05409,882.5,0.18546
882,0.02154,882,0.01754,882,0.01495,882,0.01198,882,0.05419,882,0.18578
881.5,0.02159,881.5,0.01755,881.5,0.01499,881.5,0.01199,881.5,0.0543,881.5,0.18594
881,0.02158,881,0.01752,881,0.01498,881,0.012,881,0.05439,881,0.18643
880.5,0.02159,880.5,0.01753,880.5,0.01499,880.5,0.01201,880.5,0.0545,880.5,0.1868
880,0.02159,880,0.01757,880,0.01501,880,0.01202,880,0.0546,880,0.18734
879.5,0.02162,879.5,0.01756,879.5,0.01501,879.5,0.01203,879.5,0.05472,879.5,0.18765
879,0.02163,879,0.01761,879,0.01503,879,0.01205,879,0.05483,879,0.18822
878.5,0.02158,878.5,0.01758,878.5,0.01503,878.5,0.01205,878.5,0.05493,878.5,0.18875
878,0.02161,878,0.01758,878,0.01504,878,0.01205,878,0.05502,878,0.189
877.5,0.02161,877.5,0.01758,877.5,0.01504,877.5,0.01207,877.5,0.05512,877.5,0.18936
877,0.02165,877,0.01762,877,0.01503,877,0.01209,877,0.05524,877,0.18978
876.5,0.0216,876.5,0.01762,876.5,0.01504,876.5,0.01209,876.5,0.05534,876.5,0.19016
876,0.02158,876,0.01763,876,0.01509,876,0.01208,876,0.05544,876,0.19055
875.5,0.02167,875.5,0.01765,875.5,0.01511,875.5,0.01211,875.5,0.05555,875.5,0.19095
875,0.02167,875,0.01767,875,0.01508,875,0.01211,875,0.05565,875,0.19136
874.5,0.02168,874.5,0.01764,874.5,0.0151,874.5,0.01212,874.5,0.05575,874.5,0.19175
874,0.02169,874,0.01766,874,0.0151,874,0.01214,874,0.05586,874,0.19219
873.5,0.02167,873.5,0.01767,873.5,0.0151,873.5,0.01217,873.5,0.05598,873.5,0.19264
873,0.02171,873,0.01767,873,0.01513,873,0.01219,873,0.05609,873,0.19303
872.5,0.02171,872.5,0.01766,872.5,0.01511,872.5,0.01218,872.5,0.05618,872.5,0.19343
872,0.02172,872,0.0177,872,0.01512,872,0.01219,872,0.05628,872,0.19385
871.5,0.02173,871.5,0.0177,871.5,0.01517,871.5,0.0122,871.5,0.0564,871.5,0.19431
871,0.02175,871,0.01772,871,0.01515,871,0.0122,871,0.05651,871,0.19468
870.5,0.02175,870.5,0.01773,870.5,0.01516,870.5,0.01222,870.5,0.05663,870.5,0.19514
870,0.02171,870,0.01772,870,0.01518,870,0.01223,870,0.05672,870,0.19558
869.5,0.02171,869.5,0.01771,869.5,0.01518,869.5,0.01222,869.5,0.05682,869.5,0.19597
