1-2k,,2-3k,,3-4k,,4-5k,,5-6k,,6-7.5k,,7.5-10k,
Wavelength (nm),,Wavelength (nm),,Wavelength (nm),,Wavelength (nm),,Wavelength (nm),,Wavelength (nm),,Wavelength (nm),
800,3.3436,800,1.0003,800,0.52323,800,0.42556,800,0.33049,800,0.39835,800,0.37257
799,3.17318,799,1.06889,799,0.57501,799,0.34496,799,0.33665,799,0.36832,799,0.36451
798,3.2648,798,1.05105,798,0.58349,798,0.40142,798,0.37345,798,0.39058,798,0.39936
797,3.53075,797,1.18244,797,0.63434,797,0.37613,797,0.41909,797,0.49409,797,0.47426
796,3.18759,796,1.11154,796,0.61873,796,0.38952,796,0.45055,796,0.44174,796,0.54929
795,3.55506,795,1.1044,795,0.51695,795,0.38545,795,0.34187,795,0.36351,795,0.44818
794,3.24814,794,0.91222,794,0.58871,794,0.41117,794,0.36232,794,0.34593,794,0.37145
793,3.27216,793,1.10626,793,0.6111,793,0.36658,793,0.3726,793,0.3343,793,0.47126
792,3.26713,792,1.02759,792,0.45992,792,0.37015,792,0.3557,792,0.38111,792,0.37346
791,3.57735,791,1.15857,791,0.62934,791,0.45415,791,0.46554,791,0.476,791,0.53913
790,3.45878,790,1.14094,790,0.57898,790,0.42412,790,0.39461,790,0.48411,790,0.46608
789,3.12215,789,1.09453,789,0.50354,789,0.40119,789,0.3732,789,0.33091,789,0.37682
788,3.42374,788,1.15775,788,0.5332,788,0.44718,788,0.43621,788,0.39329,788,0.40176
787,3.53015,787,1.20924,787,0.58544,787,0.39755,787,0.37419,787,0.34946,787,0.4055
786,3.33519,786,1.1352,786,0.56131,786,0.41467,786,0.44865,786,0.33247,786,0.44939
785,3.76037,785,1.28848,785,0.72069,785,0.39426,785,0.52024,785,0.54653,785,0.58056
784,3.76375,784,1.15482,784,0.65457,784,0.31608,784,0.46458,784,0.37542,784,0.42151
783,3.79857,783,1.2284,783,0.6501,783,0.38837,783,0.43081,783,0.45283,783,0.5366
782,3.56181,782,1.24446,782,0.58275,782,0.46951,782,0.4125,782,0.31333,782,0.41266
781,3.62627,781,1.15147,781,0.63222,781,0.40216,781,0.48698,781,0.428,781,0.35722
780,3.79827,780,1.10432,780,0.62913,780,0.36517,780,0.48108,780,0.43648,780,0.42458
779,3.68248,779,1.15333,779,0.59222,779,0.35586,779,0.40287,779,0.40697,779,0.46112
778,3.92006,778,1.26275,778,0.56859,778,0.46719,778,0.42718,778,0.40401,778,0.53347
777,3.81823,777,1.2765,777,0.57707,777,0.43118,777,0.44899,777,0.45049,777,0.49108
776,3.72233,776,1.33877,776,0.63285,776,0.47701,776,0.4744,776,0.44981,776,0.48539
775,4.09138,775,1.39179,775,0.75798,775,0.50371,775,0.53279,775,0.54935,775,0.54872
774,4.0357,774,1.31866,774,0.77977,774,0.50505,774,0.44214,774,0.45409,774,0.53523
773,3.87211,773,1.17203,773,0.58715,773,0.48226,773,0.39234,773,0.451,773,0.47286
772,3.93102,772,1.32643,772,0.68048,772,0.48017,772,0.45873,772,0.47,772,0.47087
771,3.78499,771,1.34732,771,0.70269,771,0.43767,771,0.42076,771,0.3744,771,0.41969
770,3.95083,770,1.33084,770,0.68115,770,0.47634,770,0.46461,770,0.48995,770,0.46579
769,3.93477,769,1.29162,769,0.61873,769,0.46847,769,0.40869,769,0.47071,769,0.44536
768,3.91391,768,1.24677,768,0.64989,768,0.38545,768,0.36226,768,0.36927,768,0.42829
767,4.06219,767,1.30252,767,0.72892,767,0.48996,767,0.33693,767,0.4186,767,0.48763
766,4.15681,766,1.42544,766,0.69077,766,0.50566,766,0.47315,766,0.47556,766,0.49108
765,4.04695,765,1.31197,765,0.64382,765,0.46706,765,0.43516,765,0.51827,765,0.53673
764,4.25369,764,1.31883,764,0.72704,764,0.47543,764,0.44124,764,0.44947,764,0.46966
763,4.06384,763,1.27427,763,0.677,763,0.43236,763,0.44115,763,0.43034,763,0.42666
762,4.28979,762,1.4133,762,0.70741,762,0.506,762,0.48568,762,0.4718,762,0.54127
761,4.29151,761,1.41851,761,0.74634,761,0.51084,761,0.48057,761,0.47485,761,0.52599
760,4.35875,760,1.47297,760,0.69936,760,0.50848,760,0.4913,760,0.48201,760,0.45943
759,4.25317,759,1.35752,759,0.68864,759,0.45673,759,0.41,759,0.43838,759,0.48958
758,4.27298,758,1.40344,758,0.71554,758,0.4412,758,0.38683,758,0.39808,758,0.41908
757,4.26472,757,1.428,757,0.75582,757,0.47681,757,0.4328,757,0.44978,757,0.54392
756,4.43416,756,1.44312,756,0.67579,756,0.45408,756,0.44047,756,0.44669,756,0.48468
755,4.47258,755,1.46001,755,0.71955,755,0.45499,755,0.50141,755,0.49704,755,0.49511
754,4.4602,754,1.45361,754,0.6835,754,0.49174,754,0.49059,754,0.51003,754,0.49763
753,4.40092,753,1.45769,753,0.71941,753,0.45754,753,0.45583,753,0.47875,753,0.45214
752,4.61966,752,1.5025,752,0.73158,752,0.5181,752,0.48485,752,0.5159,752,0.51611
751,4.49795,751,1.44023,751,0.67895,751,0.4453,751,0.4449,751,0.43512,751,0.51454
750,4.58815,750,1.49465,750,0.72587,750,0.44453,750,0.50737,750,0.44276,750,0.54069
749,4.44002,749,1.43317,749,0.70344,749,0.42694,749,0.4524,749,0.42573,749,0.49507
748,4.60863,748,1.4849,748,0.74138,748,0.45559,748,0.48514,748,0.48584,748,0.48094
747,4.75196,747,1.51942,747,0.75837,747,0.54399,747,0.53162,747,0.53615,747,0.50658
746,4.79113,746,1.60027,746,0.74095,746,0.564,746,0.49601,746,0.55081,746,0.5148
745,4.71444,745,1.53953,745,0.72949,745,0.52136,745,0.45413,745,0.48968,745,0.50431
744,4.72435,744,1.53966,744,0.75759,744,0.51975,744,0.46001,744,0.45616,744,0.54769
743,4.80599,743,1.58025,743,0.80564,743,0.52351,743,0.52626,743,0.50406,743,0.52442
742,4.79744,742,1.59482,742,0.81753,742,0.5406,742,0.4869,742,0.53466,742,0.56489
741,4.89401,741,1.61155,741,0.80824,741,0.50132,741,0.4934,741,0.52882,741,0.58494
740,5.01018,740,1.64198,740,0.80061,740,0.55085,740,0.56564,740,0.56088,740,0.55962
739,4.9067,739,1.61758,739,0.7384,739,0.5636,739,0.48051,739,0.54172,739,0.48989
738,4.84816,738,1.55101,738,0.72537,738,0.46827,738,0.41948,738,0.45154,738,0.45898
737,4.98616,737,1.56811,737,0.71281,737,0.47903,737,0.47869,737,0.44466,737,0.52535
736,5.11981,736,1.57661,736,0.75806,736,0.50475,736,0.49539,736,0.47685,736,0.56202
735,5.03899,735,1.65606,735,0.81697,735,0.51894,735,0.503,735,0.51797,735,0.56154
734,5.04387,734,1.68736,734,0.85206,734,0.52473,734,0.49252,734,0.46786,734,0.55038
733,5.06923,733,1.69186,733,0.80955,733,0.53962,733,0.49939,733,0.50983,733,0.5452
732,5.14585,732,1.72105,732,0.80359,732,0.52869,732,0.49647,732,0.50274,732,0.54293
731,5.1884,731,1.72316,731,0.80518,731,0.5713,731,0.52146,731,0.51481,731,0.55275
730,5.21466,730,1.72766,730,0.82098,730,0.57426,730,0.50289,730,0.51943,730,0.54894
729,5.43003,729,1.79951,729,0.82513,729,0.57009,729,0.53926,729,0.53625,729,0.57631
728,5.43423,728,1.77089,728,0.84081,728,0.52711,728,0.48474,728,0.51135,728,0.56502
727,5.43288,727,1.77994,727,0.8861,727,0.54961,727,0.52052,727,0.55776,727,0.56784
726,5.39326,726,1.73794,726,0.8406,726,0.56205,726,0.52299,726,0.53463,726,0.58165
725,5.50995,725,1.84398,725,0.84301,725,0.5675,725,0.55778,725,0.52798,725,0.58034
724,5.46155,724,1.8285,724,0.85075,724,0.53841,724,0.53702,724,0.52204,724,0.54757
723,5.50425,723,1.80934,723,0.87286,723,0.55327,723,0.53875,723,0.55926,723,0.54901
722,5.56803,722,1.85947,722,0.90515,722,0.55274,722,0.52972,722,0.5295,722,0.56713
721,5.71519,721,1.86289,721,0.92911,721,0.6026,721,0.54506,721,0.54545,721,0.58129
720,5.82602,720,1.91798,720,0.95182,720,0.6412,720,0.59535,720,0.61418,720,0.63376
719,5.80441,719,1.96645,719,0.95015,719,0.60997,719,0.57888,719,0.60387,719,0.60943
718,5.7389,718,1.91967,718,0.91026,718,0.55882,718,0.57121,718,0.55138,718,0.57161
717,5.74963,717,1.93391,717,0.90416,717,0.56575,717,0.56988,717,0.5463,717,0.57257
716,5.89543,716,1.96703,716,0.91569,716,0.60048,716,0.57184,716,0.5921,716,0.60252
715,6.07208,715,1.97298,715,0.95249,715,0.6673,715,0.57206,715,0.6115,715,0.64357
714,6.04311,714,1.97958,714,0.93805,714,0.60354,714,0.56493,714,0.60393,714,0.60367
713,6.03981,713,2.00647,713,0.96381,713,0.61377,713,0.60483,713,0.59983,713,0.60892
712,6.11395,712,1.99788,712,0.97957,712,0.62506,712,0.62116,712,0.60414,712,0.63014
711,6.17894,711,2.04173,711,0.95193,711,0.63135,711,0.58899,711,0.58799,711,0.61563
710,6.21796,710,2.07522,710,0.96669,710,0.62247,710,0.60727,710,0.61021,710,0.639
709,6.25848,709,2.05399,709,0.95111,709,0.61498,709,0.582,709,0.59783,709,0.61464
708,6.31341,708,2.07707,708,0.9641,708,0.59527,708,0.58515,708,0.58205,708,0.60265
707,6.37742,707,2.12109,707,0.99898,707,0.63949,707,0.60174,707,0.60258,707,0.60159
706,6.4821,706,2.14876,706,1.03646,706,0.66296,706,0.62059,706,0.63694,706,0.63545
705,6.56292,705,2.17861,705,1.02876,705,0.64043,705,0.64655,705,0.64275,705,0.6593
704,6.57838,704,2.20269,704,1.047,704,0.67281,704,0.6269,704,0.63979,704,0.63292
703,6.69372,703,2.26578,703,1.07195,703,0.69188,703,0.65433,703,0.67453,703,0.66636
702,6.73372,702,2.24736,702,1.04863,702,0.66777,702,0.62255,702,0.64889,702,0.65198
701,6.75675,701,2.24972,701,1.03653,701,0.67184,701,0.63272,701,0.63131,701,0.66505
700,6.83667,700,2.30108,700,1.08302,700,0.67234,700,0.65277,700,0.64407,700,0.6624
699,6.94383,699,2.34151,699,1.11169,699,0.70237,699,0.6869,699,0.66921,699,0.6539
698,6.96229,698,2.35303,698,1.10825,698,0.69484,698,0.68639,698,0.67202,698,0.667
697,7.04071,697,2.35881,697,1.12124,697,0.70378,697,0.68403,697,0.68044,697,0.6984
696,7.201,696,2.41922,696,1.15282,696,0.73848,696,0.69462,696,0.70374,696,0.71189
695,7.27634,695,2.44515,695,1.16191,695,0.752,695,0.69377,695,0.67782,695,0.71892
694,7.3038,694,2.46951,694,1.16507,694,0.75519,694,0.67722,694,0.65933,694,0.72151
693,7.43902,693,2.48789,693,1.1854,693,0.77362,693,0.69894,693,0.68627,693,0.74482
692,7.55346,692,2.52262,692,1.209,692,0.78556,692,0.73148,692,0.70571,692,0.73865
691,7.54671,691,2.58736,691,1.20751,691,0.80392,691,0.74355,691,0.74622,691,0.74306
690,7.63563,690,2.60376,690,1.22468,690,0.79517,690,0.73691,690,0.73821,690,0.73203
689,7.69934,689,2.59112,689,1.2266,689,0.74901,689,0.72226,689,0.71222,689,0.71042
688,7.81303,688,2.66152,688,1.25442,688,0.77413,688,0.72995,688,0.75456,688,0.75054
687,7.90098,687,2.7081,687,1.27497,687,0.79322,687,0.7377,687,0.75901,687,0.74207
686,7.9947,686,2.7344,686,1.32008,686,0.81216,686,0.74503,686,0.72773,686,0.74635
685,8.06674,685,2.73663,685,1.33349,685,0.81158,685,0.75585,685,0.73702,685,0.76313
684,8.09713,684,2.76434,684,1.31823,684,0.81216,684,0.75307,684,0.73414,684,0.76665
683,8.25629,683,2.86831,683,1.3375,683,0.84746,683,0.77232,683,0.75792,683,0.77426
682,8.43242,682,2.93389,682,1.37185,682,0.86697,682,0.80469,682,0.79453,682,0.79686
681,8.53034,681,2.95094,681,1.42026,681,0.89067,681,0.81006,681,0.7913,681,0.81464
680,8.61927,680,2.98278,680,1.46373,680,0.93119,680,0.82937,680,0.80481,680,0.81934
679,8.77843,679,3.05272,679,1.49478,679,0.95298,679,0.87032,679,0.86879,679,0.84929
678,8.90052,678,3.10719,678,1.52353,678,0.94797,678,0.88435,678,0.89135,678,0.8334
677,9.05991,677,3.15277,677,1.54496,677,0.9671,677,0.88415,677,0.88578,677,0.85019
676,9.22545,676,3.22561,676,1.59482,676,1.02679,676,0.93095,676,0.9098,676,0.89705
675,9.34784,675,3.30795,675,1.61555,675,1.02453,675,0.94923,675,0.91092,675,0.92061
674,9.51008,674,3.37538,674,1.63397,674,1.03035,674,0.95,674,0.91326,674,0.93634
673,9.63172,673,3.43786,673,1.65714,673,1.05833,673,0.97471,673,0.94661,673,0.94373
672,9.74818,672,3.48022,672,1.69937,672,1.08893,672,0.9763,672,0.96259,672,0.95811
671,9.93698,671,3.55843,671,1.7646,671,1.12676,671,1.01662,671,0.99407,671,0.99203
670,10.10845,670,3.65472,670,1.81538,670,1.14848,670,1.05331,670,1.02169,670,1.00757
669,10.2325,669,3.72376,669,1.86208,669,1.17834,669,1.05876,669,1.03271,669,1.02439
668,10.45754,668,3.8011,668,1.91702,668,1.20557,668,1.09102,668,1.07024,668,1.05869
667,10.66203,667,3.89768,667,1.94938,667,1.23449,667,1.1128,667,1.07624,667,1.0679
666,10.84655,666,3.98832,666,1.97976,666,1.27316,666,1.14452,666,1.07068,666,1.06902
665,11.07243,665,4.08845,665,2.0474,665,1.30716,665,1.19021,665,1.0971,665,1.09932
664,11.23377,664,4.18148,664,2.10752,664,1.34983,664,1.21035,664,1.13222,664,1.12365
663,11.46046,663,4.29149,663,2.18534,663,1.39778,663,1.25987,663,1.18317,663,1.16134
662,11.69954,662,4.40054,662,2.27945,662,1.42468,662,1.30849,662,1.23593,662,1.20655
661,11.99978,661,4.53742,661,2.36551,661,1.48769,661,1.3445,661,1.28478,661,1.24027
660,12.29147,660,4.70565,660,2.43741,660,1.56701,660,1.38973,660,1.32104,660,1.27311
659,12.46376,659,4.82775,659,2.4966,659,1.60642,659,1.42906,659,1.33855,659,1.28394
658,12.70171,658,4.93317,658,2.54852,658,1.63726,658,1.47004,658,1.36559,658,1.32397
657,13.07189,657,5.09532,657,2.66776,657,1.71412,657,1.52735,657,1.43493,657,1.38353
656,13.43201,656,5.30991,656,2.82231,656,1.8076,656,1.60393,656,1.5228,656,1.43621
655,13.76609,655,5.49916,655,2.93094,655,1.8802,655,1.6787,655,1.57528,655,1.48724
654,14.06438,654,5.65945,654,3.0285,654,1.94241,654,1.7251,654,1.62098,654,1.51847
653,14.38638,653,5.82078,653,3.12513,653,2.00448,653,1.78173,653,1.66722,653,1.55248
652,14.8301,652,6.0542,652,3.27755,652,2.1101,652,1.87831,652,1.75722,652,1.64005
651,15.15157,651,6.2994,651,3.41042,651,2.19322,651,1.95063,651,1.82239,651,1.69663
650,15.52775,650,6.53142,650,3.53991,650,2.27826,650,2.01646,650,1.85991,650,1.74018
649,15.99803,649,6.78545,649,3.71852,649,2.39625,649,2.10699,649,1.94103,649,1.81508
648,16.42652,648,7.0536,648,3.87804,648,2.509,648,2.207,648,2.03021,648,1.8715
647,16.90393,647,7.33793,647,4.06804,647,2.63341,647,2.31205,647,2.11842,647,1.94532
646,17.3989,646,7.66447,646,4.29821,646,2.76448,646,2.43143,646,2.21602,646,2.03889
645,17.91443,645,8.02057,645,4.53091,645,2.92205,645,2.57287,645,2.32204,645,2.14222
644,18.51656,644,8.34389,644,4.73294,644,3.05608,644,2.6803,644,2.42816,644,2.23068
643,19.00169,643,8.70206,643,4.94995,643,3.1961,643,2.77688,643,2.53946,643,2.31725
642,19.46207,642,9.1016,642,5.18381,642,3.369,642,2.9219,642,2.6637,642,2.42288
641,20.00709,641,9.51242,641,5.42886,641,3.52301,641,3.06488,641,2.7897,641,2.5254
640,20.5693,640,9.92096,640,5.73249,640,3.71531,640,3.24225,640,2.9387,640,2.6418
639,21.10119,639,10.3063,639,6.03399,639,3.91437,639,3.39441,639,3.07626,639,2.74874
638,21.584,638,10.7264,638,6.30643,638,4.10096,638,3.53736,638,3.21081,638,2.8565
637,22.02809,637,11.16848,637,6.60659,637,4.3204,637,3.73355,637,3.36642,637,3.01325
636,22.41425,636,11.56769,636,6.92964,636,4.5353,636,3.91865,636,3.52143,636,3.15519
635,22.74916,635,11.92656,635,7.22458,635,4.74684,635,4.11357,635,3.67884,635,3.27325
634,23.07304,634,12.26268,634,7.49222,634,4.95337,634,4.28489,634,3.83822,634,3.42671
633,23.29501,633,12.59991,633,7.7686,633,5.15303,633,4.44749,633,4.00194,633,3.55906
632,23.39586,632,12.91385,632,8.04921,632,5.38629,632,4.66297,632,4.17622,632,3.6855
631,23.48704,631,13.14546,631,8.30674,631,5.59067,631,4.86311,631,4.359,631,3.85228
630,23.49349,630,13.362,630,8.52652,630,5.78163,630,5.03906,630,4.53335,630,4.02095
629,23.37815,629,13.52493,629,8.71322,629,5.97434,629,5.21475,629,4.68024,629,4.17517
628,23.22027,628,13.62664,628,8.90698,628,6.14704,628,5.40243,628,4.84003,628,4.31887
627,23.06276,627,13.68164,627,9.06348,627,6.3004,627,5.58698,627,5.01925,627,4.46001
626,22.74158,626,13.6467,626,9.14695,626,6.41056,626,5.71969,626,5.13117,626,4.58773
625,22.36735,625,13.52403,625,9.19177,625,6.4993,625,5.81379,625,5.22423,625,4.69652
624,21.97069,624,13.38859,624,9.20834,624,6.58306,624,5.92312,624,5.32227,624,4.81158
623,21.45628,623,13.2133,623,9.14354,623,6.60468,623,5.99247,623,5.39379,623,4.88971
622,21.00866,622,13.04677,622,9.0851,622,6.62035,622,6.05034,622,5.48895,622,4.98402
621,20.6156,621,12.75822,621,8.98743,621,6.61554,621,6.09163,621,5.54414,621,5.06068
620,20.17984,620,12.48706,620,8.85293,620,6.54802,620,6.08459,620,5.55849,620,5.11004
619,19.77732,619,12.21878,619,8.67922,619,6.4692,619,6.0554,619,5.53834,619,5.13987
618,19.3411,618,11.88993,618,8.49334,618,6.39395,618,6.00596,618,5.52063,618,5.16528
617,18.96965,617,11.64078,617,8.33442,617,6.3113,617,5.97171,617,5.55279,617,5.20224
616,18.64375,616,11.40029,616,8.14236,616,6.2042,616,5.90376,616,5.54357,616,5.23162
615,18.3682,615,11.15708,615,7.96709,615,6.10736,615,5.82688,615,5.51863,615,5.25659
614,18.13017,614,10.94034,614,7.83259,614,6.00147,614,5.77983,614,5.48871,614,5.29054
613,17.9151,613,10.72962,613,7.63968,613,5.89283,613,5.70429,613,5.43267,613,5.26311
612,17.73981,612,10.54658,612,7.50195,612,5.77194,612,5.63461,612,5.38548,612,5.22996
611,17.61359,611,10.3653,611,7.34633,611,5.64454,611,5.53502,611,5.29612,611,5.15867
610,17.46456,610,10.21484,610,7.21925,610,5.53953,610,5.43884,610,5.22294,610,5.06739
609,17.35357,609,10.06746,609,7.10015,609,5.44221,609,5.32258,609,5.12751,609,4.97081
608,17.30382,608,9.95734,608,6.99011,608,5.35166,608,5.21106,608,4.99646,608,4.84166
607,17.22638,607,9.8449,607,6.85469,607,5.24352,607,5.09066,607,4.8803,607,4.71602
606,17.2131,606,9.74576,606,6.75046,606,5.14016,606,5.00115,606,4.78025,606,4.60813
605,17.15591,605,9.66772,605,6.67189,605,5.03487,605,4.90031,605,4.6589,605,4.50106
604,17.14061,604,9.57592,604,6.57866,604,4.96033,604,4.80404,604,4.56649,604,4.41385
603,17.21129,603,9.53554,603,6.52163,603,4.93151,603,4.72678,603,4.50118,603,4.35189
602,17.19756,602,9.47629,602,6.46514,602,4.86846,602,4.63113,602,4.43669,602,4.27012
601,17.19816,601,9.42058,601,6.37436,601,4.79926,601,4.57139,601,4.34666,601,4.20483
600,17.23989,600,9.39754,600,6.32471,600,4.73443,600,4.51544,600,4.30313,600,4.14745
599,17.28641,599,9.38123,599,6.26076,599,4.67915,599,4.44982,599,4.23053,599,4.0885
598,17.36798,598,9.35922,598,6.24681,598,4.6272,598,4.40504,598,4.17991,598,4.04058
597,17.39079,597,9.35055,597,6.18539,597,4.58214,597,4.33529,597,4.13188,597,3.98415
596,17.48429,596,9.33779,596,6.1675,596,4.56049,596,4.30459,596,4.10585,596,3.95305
595,17.56511,595,9.31343,595,6.11171,595,4.51687,595,4.25618,595,4.05229,595,3.90474
594,17.59108,594,9.32784,594,6.09273,594,4.49226,594,4.21937,594,4.02379,594,3.865
593,17.65366,593,9.33651,593,6.07889,593,4.47259,593,4.19157,593,4.00194,593,3.83383
592,17.7786,592,9.3681,592,6.07158,592,4.44505,592,4.16559,592,3.96968,592,3.79975
591,17.89252,591,9.39118,591,6.07605,591,4.44982,591,4.14636,591,3.94973,591,3.78553
590,17.93176,590,9.41773,590,6.07349,590,4.42414,590,4.118,590,3.93226,590,3.76788
589,18.04935,589,9.42727,589,6.07001,589,4.42067,589,4.10099,589,3.90956,589,3.74841
588,18.18247,588,9.44305,588,6.05731,588,4.39555,588,4.06927,588,3.87825,588,3.71954
587,18.21407,587,9.4397,587,6.03371,587,4.35759,587,4.04195,587,3.85003,587,3.68102
586,18.34726,586,9.49953,586,6.01827,586,4.36008,586,4.02999,586,3.83323,586,3.68812
585,18.43986,585,9.52613,585,6.01739,585,4.35174,585,4.0167,585,3.82058,585,3.65704
584,18.58859,584,9.59186,584,6.06292,584,4.34559,584,4.02074,584,3.81213,584,3.64985
583,18.72277,583,9.62424,583,6.08985,583,4.35944,583,4.00435,583,3.8144,583,3.62629
582,18.80449,582,9.6332,582,6.06043,582,4.33997,582,3.98203,582,3.78231,582,3.61126
581,18.94571,581,9.69402,581,6.07789,581,4.35994,581,4.00932,581,3.7891,581,3.62207
580,19.09167,580,9.76669,580,6.10298,580,4.36697,580,3.99237,580,3.78994,580,3.6221
579,19.17556,579,9.79287,579,6.09298,579,4.32871,579,3.96672,579,3.76732,579,3.56427
578,19.33833,578,9.88144,578,6.11459,578,4.378,578,3.99098,578,3.78285,578,3.5925
577,19.47903,577,9.92418,577,6.13027,577,4.35981,577,3.97618,577,3.74998,577,3.58246
576,19.6165,576,9.98141,576,6.13978,576,4.36139,576,3.97007,576,3.74469,576,3.58799
575,19.79713,575,10.06173,575,6.17765,575,4.37807,575,3.99254,575,3.75867,575,3.58585
574,19.97107,574,10.13077,574,6.21072,574,4.39925,574,4.00892,574,3.77929,574,3.60126
573,20.17526,573,10.19943,573,6.26069,573,4.43402,573,4.02721,573,3.78241,573,3.6151
572,20.29855,572,10.27037,572,6.27421,572,4.42336,572,4.0079,572,3.76433,572,3.59704
571,20.45824,571,10.3663,571,6.30775,571,4.43933,571,4.02281,571,3.78068,571,3.60951
570,20.63016,570,10.43104,570,6.31811,570,4.43614,570,4.0177,570,3.76704,570,3.59333
569,20.78436,569,10.48811,569,6.35686,569,4.455,569,4.02204,569,3.77661,569,3.58748
568,21.00551,568,10.59101,568,6.42021,568,4.48369,568,4.05277,568,3.80029,568,3.59963
567,21.19049,567,10.67743,567,6.43916,567,4.51277,567,4.05299,567,3.80545,567,3.61718
566,21.45553,566,10.8125,566,6.50751,566,4.56778,566,4.10101,566,3.83788,566,3.6314
565,21.67015,565,10.92188,565,6.55205,565,4.58668,565,4.11587,565,3.85817,565,3.64422
564,21.82293,564,11.00802,564,6.61408,564,4.60396,564,4.12316,564,3.88714,564,3.66251
563,22.08535,563,11.1563,563,6.67835,563,4.63436,563,4.14918,563,3.88687,563,3.68319
562,22.27678,562,11.27175,562,6.73981,562,4.68749,562,4.20432,562,3.92788,562,3.71357
561,22.5413,561,11.38906,561,6.80135,561,4.72572,561,4.20276,561,3.92235,561,3.70589
560,22.84641,560,11.53689,560,6.90377,560,4.77162,560,4.24397,560,3.96317,560,3.74848
559,23.06883,559,11.71539,559,6.96889,559,4.82814,559,4.30016,559,4.01331,559,3.76884
558,23.37755,558,11.86408,558,7.03855,558,4.89102,558,4.33157,558,4.04662,558,3.7847
557,23.62414,557,12.02739,557,7.13681,557,4.93104,557,4.3872,557,4.06365,557,3.83105
