22-74k,,10-22k,,5-10k,,1-5k,,400-1k,,100-400,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
900,0.0218,900,0.0157,900,0.01328,900,0.01144,900,0.01999,900,0.31677
899.5,0.02183,899.5,0.01574,899.5,0.01335,899.5,0.01147,899.5,0.02009,899.5,0.31763
899,0.02183,899,0.01578,899,0.01336,899,0.01149,899,0.0201,899,0.3184
898.5,0.02186,898.5,0.01577,898.5,0.01335,898.5,0.01151,898.5,0.02012,898.5,0.31921
898,0.02186,898,0.01578,898,0.01332,898,0.01153,898,0.0202,898,0.32001
897.5,0.02189,897.5,0.01581,897.5,0.01339,897.5,0.01154,897.5,0.02027,897.5,0.32082
897,0.02192,897,0.0158,897,0.01339,897,0.01158,897,0.02032,897,0.32163
896.5,0.0219,896.5,0.0158,896.5,0.01338,896.5,0.01159,896.5,0.02035,896.5,0.32249
896,0.02194,896,0.0158,896,0.01341,896,0.01162,896,0.02044,896,0.32332
895.5,0.02197,895.5,0.01583,895.5,0.01344,895.5,0.01164,895.5,0.02053,895.5,0.32414
895,0.02197,895,0.01583,895,0.01345,895,0.01167,895,0.02052,895,0.32495
894.5,0.022,894.5,0.01584,894.5,0.01346,894.5,0.01169,894.5,0.02059,894.5,0.32575
894,0.022,894,0.01586,894,0.01349,894,0.0117,894,0.02065,894,0.32657
893.5,0.02205,893.5,0.01588,893.5,0.01351,893.5,0.01174,893.5,0.02065,893.5,0.32741
893,0.02206,893,0.0159,893,0.0135,893,0.01175,893,0.02072,893,0.32831
892.5,0.02209,892.5,0.01592,892.5,0.01355,892.5,0.01177,892.5,0.02079,892.5,0.3291
892,0.02207,892,0.0159,892,0.01354,892,0.0118,892,0.02084,892,0.32996
891.5,0.02214,891.5,0.01597,891.5,0.01363,891.5,0.01184,891.5,0.02095,891.5,0.33083
891,0.02215,891,0.01595,891,0.01361,891,0.01186,891,0.02098,891,0.33163
890.5,0.02216,890.5,0.016,890.5,0.01366,890.5,0.0119,890.5,0.02108,890.5,0.33251
890,0.0222,890,0.01605,890,0.0137,890,0.01193,890,0.02113,890,0.33339
889.5,0.02223,889.5,0.01605,889.5,0.01372,889.5,0.01196,889.5,0.02119,889.5,0.33425
889,0.02223,889,0.01605,889,0.01375,889,0.01198,889,0.02129,889,0.33513
888.5,0.02224,888.5,0.01607,888.5,0.01373,888.5,0.012,888.5,0.0213,888.5,0.33594
888,0.02229,888,0.01612,888,0.0138,888,0.01204,888,0.02135,888,0.33682
887.5,0.02229,887.5,0.01607,887.5,0.01375,887.5,0.01205,887.5,0.02142,887.5,0.33766
